Client,Account,NT-custom Identifier,ISIN,Symbol,Description,Quantity,MV,Purcahse Price,Position Date,Security Type
DOUBLE RIVER INVESTMENTS,DDQ01,B1K9VV1,AEI000201014,XADS,INTL HLDG CO AED1,6000,406.9,297.59,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BD5LV72,CNE000000XV4,XSHE,XINJIANG TIANSHAN CEMENT CO. LTD        'A'CNY1 (STOCK CONNECT),75000,8.99,17.623,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BP3R8H5,CNE000001JP3,XSHG,KINGFA SCI.&TECH. CO. LTD.(STOCK CONNECT),30000,10.22,29.396,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B15Q010,EGS3G0Z1C014,XCAI,ELSWEDY ELECTRIC EGP1.00 (POST,400000,9.49,9.376,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,6139470,EGS69101C011,XCAI,EFG HERMES HLDGS EGP5,250000,15.45,14.832,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B7SF135,IT0004810054,MTAA,UNIPOL GRUPPO SPA NPV,25000,4.789,4.688,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,5973992,PTSON0AM0001,XLIS,SONAE SGPS SA EUR1,300000,0.947,0.908,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BYT1830,GB00BYT18307,XLON,TBC BANK GROUP PLC ORD GBP0.01,10000,22,22.004,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,903994,GB0009039941,XLON,REACH PLC ORD GBP0.10,200000,1.07,1.147,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BH3VJ78,GB00BH3VJ782,XLON,NETWORK INTL HLDGS ORD GBP0.10,70000,3.56,3.088,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BKSH831,INE071N01016,XBOM,MEGHMANI ORGANOCHEM LTD,14100,1260.1,498.092,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BBHX570,INE452O01016,XBOM,FUTURE LIFESTYLE F INR2,85883,4.8,119.364,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B0YVBS3,INE246F01010,XBOM,GUJARAT STATE PETR INR10(DEMAT),15000,263.7,288.656,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BNXFR89,INE0CT101020,XBOM,MEGHMANI ORGANICS INR1,150000,111.15,21.115,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,6342289,INE516A01017,XBOM,UFLEX LTD INR10,40000,603.2,321.241,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BC43RR4,INE442H01029,XBOM,ASHOKA BUILDCON LT INR5,250000,81.45,58.497,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,6325280,INE757A01017,XBOM,COSMO FIRST LTD,45000,843.4,300.531,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,6771838,KR7003230000,XKRX,SAMYANG FOODS KRW5000,3500,112500,102446.748,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B65GVR8,KR7136490000,XKRX,SUNJIN CO LTD/NEW,7000,8890,21034.778,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B040QM9,KR7067990002,XKOS,DEUTSCH MOTORS INC KRW500,700,6550,6486.655,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B1Z2M67,KR7069410009,XKOS,NTELS CO. LTD. KRW500,15000,5540,8475.087,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BD6NPN1,KR7123890006,XKRX,KOREA ASSET IN TRU KRW500,70000,3350,3605.079,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B1WT3H9,KR7009410002,XKRX,TAEYOUNG ENG&CON KRW500,25000,4900,10254.328,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B55WMQ5,NO0010571680,XOSL,WALLENIUS WILHELMSEN,25000,87.9,94.761,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BJK0P85,BMG4233B1090,XOSL,HAFNIA LIMITED USD0.01,50000,52.5,59.181,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,5810066,PLPKN0000018,XWAR,PKN ORLEN SA PLN1.25,20000,64.5,63.612,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B3F97B2,PLENEA000013,XWAR,ENEA SA PLN1.00,150000,5.96,5.823,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B4K4P04,TREINFM00017,XIST,INFO YATIRIM A.S. TRY1 (B SHARES),200000,11.44,11.357,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MZB8,TRAVESTL91H6,XIST,VESTEL ELECTRONIK TRY1,1733,65.6,59.709,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MW51,TRAMNDRS91B0,XIST,MENDERES TEKSTIL TRY1 (B SHARES),250000,9.38,9.326,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MTT4,TRAIPMAT92D2,XIST,IPEK DOGAL ENERJI TRY1 (C SHARES),125000,37.12,30.812,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MQG0,TRABUCIM91F3,XIST,BURSA CIMENTO TRY1,1000000,6.19,4.588,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MY88,TRATSKBW91N0,XIST,TURKIYE SINAI KALK TRY1,750000,4.04,4.082,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BF5M481,TREMAVI00037,XIST,MAVI GIYIM SANAYI TRY1,50000,122,82.324,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MQ48,TRABOSSA91B5,XIST,BOSSA TRY1,119372,15.35,16.032,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MRG7,TRADOHOL91Q8,XIST,DOGAN SIRKETLER TRY1,400000,8.16,6.747,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MZ74,TRAVAKKO91B7,XIST,VAKKO TEKSTIL TRY1,100000,69.05,19.993,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MVN2,TRAKONYA91F6,XIST,KONYA CIMENTO TRY1,737,3290,3192.469,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MR90,TRADEVAW91E2,XIST,DEVA HOLDING AS TRY1 (C SHARES),100000,57.7,42.442,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BNG2V18,TREBION00012,XIST,BIOTRENDCCEVRE VE TRY1,100000,18.61,17.809,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BN2TVP7,TREGENL00024,,GEN ILAC VE SAGLIK TRY1,100000,47.62,27.749,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MVJ8,TRAKCHOL91Q8,XIST,KOC HLDG TRY1 (B SHARES),70000,68.85,68.215,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B7TJR61,TRETKNO00010,XIST,TEKNOSA IC VE DIS TRY1,200000,30.38,16.327,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MZ30,TRAVAKFN91P9,XIST,VAKIF FIN KIRALAMA TRY1,400000,5.11,5.407,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B72RSM5,TREOZAK00014,XIST,OZAK GAYRIMENKUL YATIRIM ORT TRY1,350000,16.66,13.601,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03N094,TRAGSDHO91Q9,XIST,GSD HOLDINGS TRY1 (D SHARES),1800000,3.72,2.958,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B7QP2X4,TREKMBH00014,XIST,BERA HOLDING A.S TRY1,150000,30.42,27.963,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MZ07,TRAUSAKW91F6,XIST,USAK SERAMIK TRY1,750000,4.25,2.561,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MXM5,TRASKTAS91B5,XIST,SOKTAS TRY1,400000,5.49,5.412,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MRX4,TRAEGEEN91H5,XIST,EGE ENDUSTRI TRY1 (B SHARES),600,4779.9,4927.277,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BY2Z9Q9,TREBANT00026,XIST,BANTAS BANDIRMA AM TRY1 (B SHARES),700000,8.23,7.16,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MRZ6,TRAEGPRO91E8,XIST,EGE PROFIL TRY1,23010,64.45,63.038,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MXH0,TRASKBNK91N8,XIST,SEKERBANK TRY1,800000,2.69,2.786,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MT72,TRAGLMDE91R3,XIST,GLOBAL YATIRIM HOL TRY1 (C SHARES),500000,10.1,7.986,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MW95,TREMETU00012,XIST,METEMTUR INVESTMEN TRY1,284127,8.81,8.695,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MTQ1,TREINDX00019,XIST,INDEKS BILGISAYAR TRY1 (B SHARES),300000,19.48,10.487,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BN2XCG7,TREFADE00012,XIST,FADE GIDA YATIRIM NPV,150000,13.73,14.471,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MWV7,TRAPRKTE91B5,XIST,PARK ELEK URETIM M TRY1 (B SHARES),70022,22.44,22.759,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MTP0,TRAIHLAS91D5,XIST,IHLAS HOLDING TRY1 (A SHARES),2000000,1.05,1.089,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MV43,TRAKRDMA91G3,XIST,KARDEMIR KARABUK D TRY1 (A SHARES),200000,11.87,11.802,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MZK7,TRAYATAS91B4,XIST,YATAK VE YORGAN SA TRY1,150000,31.4,25.186,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MRV2,TRAEDIPW91B3,XIST,EDIP IPLIK TRY1,371158,10.09,8.901,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MPK7,TRAAYENW91L0,XIST,AYEN ENERJI AS TRY1,100000,43.68,43.76,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B3RCH53,TRELKMH00013,XIST,LOKMAN HEKIM ENGUR TRY1,80000,30.7,31.385,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B6Y3LL4,TREADSE00015,XIST,ADESE GAYRIMENKUL YATIRIM ANONIM SI TRY1(B SHARES),2000000,1.69,1.568,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B151SC2,TREBSKY00016,XIST,GULER YATIRIM HLDG TRY1 (B SHARES),300000,9.05,8.404,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BDT8SW3,TREPEGY00022,XIST,PEKER GAYRIMENKUL TRY1,1400000,3.57,2.632,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BK5Z0G5,TRENATU00026,XIST,NATUREL YENILENEBI TRY1.00,20000,199.2,117.724,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B624LY2,TRECMAS00010,XIST,CEMAS DOKUM SAN TRY1,1000000,2.48,2.488,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B03MPM9,TRABAGFS91E2,XIST,BAGFAS TRY1 (B SHARES),100000,43.56,39.909,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B1FGXJ9,TW0003515003,XTAI,ASROCK INCORPORATI TWD10,20000,130,158.783,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,6211583,TW0008924002,ROCO,O-TA PRECISION IND TWD10,40000,122,84.637,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BMXZ8G7,US48581R2058,,KASPI.KZ JSC SPONSORED GDR REG S,2000,77,77.291,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,BJ84772,US92837L1098,XNYS,ADR VISTA ENERGY S A B DE C V SPONSORED ADS REPSTG SHS SER A,15000,13.65,11.825,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,B5N90B9,VN000000VIX5,HSTC,VIX SECURITIES JSC VND10000,30000,8550,13732.634,20221202,Common Stock
DOUBLE RIVER INVESTMENTS,DDQ01,EGP Curncy,,,CASH,7458881.65,1,0,20221202,Cash
DOUBLE RIVER INVESTMENTS,DDQ01,NGN Curncy,,,CASH,57216022.03,1,0,20221202,Cash
DOUBLE RIVER INVESTMENTS,DDQ01,TRY Curncy,,,CASH,40031.5,1,0,20221202,Cash
DOUBLE RIVER INVESTMENTS,DDQ01,USD Curncy,,,CASH,423174.06,1,0,20221202,Invested cash
DOUBLE RIVER INVESTMENTS,DDQ01,VND Curncy,,,CASH,7414453928,1,0,20221202,Cash